Time[s], Channel 0, Channel 1
7.945778, 1, 0
7.945782, 0, 0
7.945788, 1, 0
7.945792, 0, 1
7.945798, 1, 1
7.945804, 0, 1
7.945810, 1, 1
7.945814, 0, 0
7.945820, 1, 0
7.945824, 1, 1
7.946102, 1, 0
7.946106, 0, 0
7.946112, 1, 0
7.946116, 0, 1
7.946122, 1, 1
7.946126, 0, 0
7.946132, 1, 0
7.946138, 0, 1
7.946144, 1, 1
7.946148, 0, 1
7.946154, 1, 1
7.946158, 0, 0
7.946164, 1, 0
7.946168, 0, 1
7.946174, 1, 1
7.946180, 0, 1
7.946186, 1, 1
7.946190, 0, 1
7.946196, 1, 1
7.946200, 0, 0
7.946206, 1, 0
7.946212, 1, 1
7.946488, 1, 0
7.946492, 0, 0
7.946498, 1, 0
7.946504, 0, 1
7.946510, 1, 1
7.946514, 0, 0
7.946520, 1, 0
7.946524, 0, 1
7.946530, 1, 1
7.946534, 0, 1
7.946540, 1, 1
7.946546, 0, 1
7.946552, 1, 1
7.946556, 0, 0
7.946562, 1, 0
7.946566, 0, 1
7.946572, 1, 1
7.946576, 0, 1
7.946582, 1, 1
7.946588, 0, 0
7.946594, 1, 0
7.946598, 1, 1
7.946874, 1, 0
7.946880, 0, 0
7.946886, 1, 0
7.946890, 0, 1
7.946896, 1, 1
7.946900, 0, 0
7.946906, 1, 0
7.946910, 0, 0
7.946912, 0, 1
7.946916, 1, 1
7.946922, 0, 1
7.946928, 1, 1
7.946932, 0, 1
7.946938, 1, 1
7.946942, 0, 1
7.946948, 1, 1
7.946952, 0, 1
7.946958, 1, 1
7.946964, 0, 1
7.946970, 1, 1
7.946974, 0, 0
7.946980, 1, 0
7.946984, 1, 1
7.947540, 1, 0
7.947544, 0, 0
7.947550, 1, 0
7.947554, 0, 1
7.947560, 1, 1
7.947564, 0, 1
7.947572, 1, 1
7.947576, 0, 0
7.947582, 1, 0
7.947586, 0, 0
7.947592, 1, 0
7.947596, 0, 0
7.947602, 1, 0
7.947606, 0, 0
7.947614, 1, 0
7.947618, 0, 1
7.947624, 1, 1
7.947628, 0, 1
7.947634, 1, 1
7.947638, 0, 0
7.947644, 1, 0
7.947650, 1, 1
7.947914, 1, 0
7.947918, 0, 0
7.947924, 1, 0
7.947928, 0, 1
7.947934, 1, 1
7.947938, 0, 1
7.947944, 1, 1
7.947950, 0, 0
7.947956, 1, 0
7.947960, 0, 0
7.947966, 1, 0
7.947970, 0, 0
7.947976, 1, 0
7.947980, 0, 0
7.947982, 0, 1
7.947988, 1, 1
7.947992, 0, 1
7.947998, 1, 1
7.948002, 0, 1
7.948008, 1, 1
7.948012, 0, 0
7.948018, 1, 0
7.948024, 1, 1
7.948300, 1, 0
7.948304, 0, 0
7.948310, 1, 0
7.948316, 0, 1
7.948322, 1, 1
7.948326, 0, 1
7.948332, 1, 1
7.948336, 0, 0
7.948342, 1, 0
7.948346, 0, 0
7.948352, 1, 0
7.948358, 0, 1
7.948364, 1, 1
7.948368, 0, 0
7.948374, 1, 0
7.948378, 0, 1
7.948384, 1, 1
7.948388, 0, 1
7.948394, 1, 1
7.948400, 0, 0
7.948406, 1, 0
7.948410, 1, 1
7.948698, 1, 0
7.948702, 0, 0
7.948710, 1, 0
7.948714, 0, 1
7.948720, 1, 1
7.948724, 0, 1
7.948730, 1, 1
7.948734, 0, 0
7.948740, 1, 0
7.948744, 0, 0
7.948752, 1, 0
7.948756, 0, 1
7.948762, 1, 1
7.948766, 0, 1
7.948772, 1, 1
7.948776, 0, 1
7.948782, 1, 1
7.948788, 0, 1
7.948794, 1, 1
7.948798, 0, 0
7.948804, 1, 0
7.948808, 1, 1
7.949086, 1, 0
7.949090, 0, 0
7.949096, 1, 0
7.949100, 0, 1
7.949106, 1, 1
7.949110, 0, 1
7.949116, 1, 1
7.949122, 0, 0
7.949128, 1, 0
7.949132, 0, 1
7.949138, 1, 1
7.949142, 0, 0
7.949148, 1, 0
7.949152, 0, 0
7.949158, 1, 0
7.949164, 0, 1
7.949170, 1, 1
7.949174, 0, 1
7.949180, 1, 1
7.949184, 0, 0
7.949190, 1, 0
7.949196, 1, 1
7.949472, 1, 0
7.949476, 0, 0
7.949484, 1, 0
7.949488, 0, 1
7.949494, 1, 1
7.949498, 0, 1
7.949504, 1, 1
7.949508, 0, 0
7.949514, 1, 0
7.949520, 0, 1
7.949526, 1, 1
7.949530, 0, 0
7.949536, 1, 0
7.949540, 0, 1
7.949546, 1, 1
7.949550, 0, 1
7.949556, 1, 1
7.949562, 0, 1
7.949568, 1, 1
7.949572, 0, 0
7.949578, 1, 0
7.949582, 1, 1
7.949860, 1, 0
7.949864, 0, 0
7.949870, 1, 0
7.949876, 0, 1
7.949882, 1, 1
7.949886, 0, 1
7.949892, 1, 1
7.949896, 0, 0
7.949902, 1, 0
7.949906, 0, 0
7.949908, 0, 1
7.949912, 1, 1
7.949918, 0, 1
7.949924, 1, 1
7.949928, 0, 0
7.949934, 1, 0
7.949938, 0, 1
7.949944, 1, 1
7.949948, 0, 1
7.949954, 1, 1
7.949960, 0, 0
7.949966, 1, 0
7.949970, 1, 1
7.950248, 1, 0
7.950252, 0, 0
7.950258, 1, 0
7.950262, 0, 1
7.950268, 1, 1
7.950272, 0, 1
7.950278, 1, 1
7.950284, 0, 0
7.950290, 1, 0
7.950294, 0, 1
7.950300, 1, 1
7.950304, 0, 1
7.950310, 1, 1
7.950314, 0, 1
7.950320, 1, 1
7.950326, 0, 1
7.950332, 1, 1
7.950336, 0, 1
7.950342, 1, 1
7.950346, 0, 0
7.950352, 1, 0
7.950358, 1, 1
7.950634, 1, 0
7.950640, 0, 0
7.950646, 1, 0
7.950650, 0, 1
7.950656, 1, 1
7.950660, 0, 1
7.950666, 1, 1
7.950670, 0, 1
7.950676, 1, 1
7.950682, 0, 0
7.950688, 1, 0
7.950692, 0, 0
7.950698, 1, 0
7.950702, 0, 0
7.950708, 1, 0
7.950712, 0, 0
7.950714, 0, 1
7.950718, 1, 1
7.950724, 0, 1
7.950730, 1, 1
7.950734, 0, 0
7.950740, 1, 0
7.950744, 1, 1
7.951022, 1, 0
7.951026, 0, 0
7.951032, 1, 0
7.951038, 0, 1
7.951044, 1, 1
7.951048, 0, 1
7.951054, 1, 1
7.951058, 0, 1
7.951064, 1, 1
7.951068, 0, 1
7.951070, 0, 0
7.951074, 1, 0
7.951080, 0, 0
7.951086, 1, 0
7.951090, 0, 1
7.951096, 1, 1
7.951100, 0, 1
7.951106, 1, 1
7.951110, 0, 1
7.951116, 1, 1
7.951122, 0, 0
7.951128, 1, 0
7.951132, 1, 1
7.951434, 1, 0
7.951440, 0, 0
7.951446, 1, 0
7.951450, 0, 1
7.951456, 1, 1
7.951460, 0, 1
7.951466, 1, 1
7.951470, 0, 1
